room_x,room_h,window_w,window_h,sill_height,percentage_glazing,OccupantDistance,WindowSize,Max_surf_temp,image
3,3,1,1.8,0,0.2,0.5,1m x 1.8m,36,Window_0_1_1.8.png
3,3,1,1.8,0.6,0.2,0.5,1m x 1.8m,40.5,Window_0.6_1_1.8.png
3,3,1,1.8,0.9,0.2,0.5,1m x 1.8m,50,Window_0.9_1_1.8.png
3,3,1.8,1.8,0,0.36,0.5,1.8m x 1.8m,34.5,Window_0_1.8_1.8.png
3,3,1.8,1.8,0.6,0.36,0.5,1.8m x 1.8m,38,Window_0.6_1.8_1.8.png
3,3,1.8,1.8,0.9,0.36,0.5,1.8m x 1.8m,45,Window_0.9_1.8_1.8.png
3,3,2,1.8,0,0.4,0.5,2m x 1.8m,34.5,Window_0_2_1.8.png
3,3,2,1.8,0.6,0.4,0.5,2m x 1.8m,37.5,Window_0.6_2_1.8.png
3,3,2,1.8,0.9,0.4,0.5,2m x 1.8m,44,Window_0.9_2_1.8.png
3,3,2.5,1.8,0,0.5,0.5,2.5m x 1.8m,34.4,Window_0_2.5_1.8.png
3,3,2.5,1.8,0.6,0.5,0.5,2.5m x 1.8m,37,Window_0.6_2.5_1.8.png
3,3,2.5,1.8,0.9,0.5,0.5,2.5m x 1.8m,43,Window_0.9_2.5_1.8.png
3,3,3,1.8,0,0.6,0.5,3m x 1.8m,34,Window_0_3_1.8.png
3,3,3,1.8,0.6,0.6,0.5,3m x 1.8m,37,Window_0.6_3_1.8.png
3,3,3,1.8,0.9,0.6,0.5,3m x 1.8m,42,Window_0.9_3_1.8.png
3,3,3,2.1,0,0.7,0.5,3m x 2.1m,34,Window_0_3_2.1.png
3,3,3,2.1,0.6,0.7,0.5,3m x 2.1m,36.5,Window_0.6_3_2.1.png
3,3,3,2.1,0.9,0.7,0.5,3m x 2.1m,42,Window_0.9_3_2.1.png
3,3,3,2.4,0,0.8,0.5,3m x 2.4m,34,Window_0_3_2.4.png
3,3,3,2.4,0.6,0.8,0.5,3m x 2.4m,36.5,Window_0.6_3_2.4.png
3,3.3,3,2.4,0.9,0.73,0.5,3m x 2.4m,41.5,Window_0.9_3_2.4.png
3,3,3,2.7,0,0.9,0.5,3m x 2.7m,34,Window_0_3_2.7.png
3,3.3,3,2.7,0.6,0.82,0.5,3m x 2.7m,36.5,Window_0.6_3_2.7.png
3,3.6,3,2.7,0.9,0.75,0.5,3m x 2.7m,42,Window_0.9_3_2.7.png
3,3,3,3,0,1,0.5,3m x 3m,34,Window_0_3_3.png
3,3.6,3,3,0.6,0.83,0.5,3m x 3m,36.5,Window_0.6_3_3.png
3,3.9,3,3,0.9,0.77,0.5,3m x 3m,42,Window_0.9_3_3.png
3,3,1,1.8,0,0.2,1,1m x 1.8m,45,Window_0_1_1.8.png
3,3,1,1.8,0.6,0.2,1,1m x 1.8m,51,Window_0.6_1_1.8.png
3,3,1,1.8,0.9,0.2,1,1m x 1.8m,56,Window_0.9_1_1.8.png
3,3,1.8,1.8,0,0.36,1,1.8m x 1.8m,40,Window_0_1.8_1.8.png
3,3,1.8,1.8,0.6,0.36,1,1.8m x 1.8m,44,Window_0.6_1.8_1.8.png
3,3,1.8,1.8,0.9,0.36,1,1.8m x 1.8m,50,Window_0.9_1.8_1.8.png
3,3,2,1.8,0,0.4,1,2m x 1.8m,39.5,Window_0_2_1.8.png
3,3,2,1.8,0.6,0.4,1,2m x 1.8m,43,Window_0.6_2_1.8.png
3,3,2,1.8,0.9,0.4,1,2m x 1.8m,48,Window_0.9_2_1.8.png
3,3,2.5,1.8,0,0.5,1,2.5m x 1.8m,38.5,Window_0_2.5_1.8.png
3,3,2.5,1.8,0.6,0.5,1,2.5m x 1.8m,41.5,Window_0.6_2.5_1.8.png
3,3,2.5,1.8,0.9,0.5,1,2.5m x 1.8m,46,Window_0.9_2.5_1.8.png
3,3,3,1.8,0,0.6,1,3m x 1.8m,37.5,Window_0_3_1.8.png
3,3,3,1.8,0.6,0.6,1,3m x 1.8m,41,Window_0.6_3_1.8.png
3,3,3,1.8,0.9,0.6,1,3m x 1.8m,45,Window_0.9_3_1.8.png
3,3,3,2.1,0,0.7,1,3m x 2.1m,37.5,Window_0_3_2.1.png
3,3,3,2.1,0.6,0.7,1,3m x 2.1m,40.5,Window_0.6_3_2.1.png
3,3,3,2.1,0.9,0.7,1,3m x 2.1m,44,Window_0.9_3_2.1.png
3,3,3,2.4,0,0.8,1,3m x 2.4m,37,Window_0_3_2.4.png
3,3,3,2.4,0.6,0.8,1,3m x 2.4m,40,Window_0.6_3_2.4.png
3,3.3,3,2.4,0.9,0.73,1,3m x 2.4m,40.5,Window_0.9_3_2.4.png
3,3,3,2.7,0,0.9,1,3m x 2.7m,37,Window_0_3_2.7.png
3,3.3,3,2.7,0.6,0.82,1,3m x 2.7m,40,Window_0.6_3_2.7.png
3,3.6,3,2.7,0.9,0.75,1,3m x 2.7m,44,Window_0.9_3_2.7.png
3,3,3,3,0,1,1,3m x 3m,37,Window_0_3_3.png
3,3.6,3,3,0.6,0.83,1,3m x 3m,40,Window_0.6_3_3.png
3,3.9,3,3,0.9,0.77,1,3m x 3m,43.5,Window_0.9_3_3.png
3,3,1,1.8,0,0.2,1.5,1m x 1.8m,57,Window_0_1_1.8.png
3,3,1,1.8,0.6,0.2,1.5,1m x 1.8m,65,Window_0.6_1_1.8.png
3,3,1,1.8,0.9,0.2,1.5,1m x 1.8m,73,Window_0.9_1_1.8.png
3,3,1.8,1.8,0,0.36,1.5,1.8m x 1.8m,48,Window_0_1.8_1.8.png
3,3,1.8,1.8,0.6,0.36,1.5,1.8m x 1.8m,52,Window_0.6_1.8_1.8.png
3,3,1.8,1.8,0.9,0.36,1.5,1.8m x 1.8m,58,Window_0.9_1.8_1.8.png
3,3,2,1.8,0,0.4,1.5,2m x 1.8m,46,Window_0_2_1.8.png
3,3,2,1.8,0.6,0.4,1.5,2m x 1.8m,51,Window_0.6_2_1.8.png
3,3,2,1.8,0.9,0.4,1.5,2m x 1.8m,55,Window_0.9_2_1.8.png
3,3,2.5,1.8,0,0.5,1.5,2.5m x 1.8m,44,Window_0_2.5_1.8.png
3,3,2.5,1.8,0.6,0.5,1.5,2.5m x 1.8m,48,Window_0.6_2.5_1.8.png
3,3,2.5,1.8,0.9,0.5,1.5,2.5m x 1.8m,52,Window_0.9_2.5_1.8.png
3,3,3,1.8,0,0.6,1.5,3m x 1.8m,43,Window_0_3_1.8.png
3,3,3,1.8,0.6,0.6,1.5,3m x 1.8m,46,Window_0.6_3_1.8.png
3,3,3,1.8,0.9,0.6,1.5,3m x 1.8m,50,Window_0.9_3_1.8.png
3,3,3,2.1,0,0.7,1.5,3m x 2.1m,42,Window_0_3_2.1.png
3,3,3,2.1,0.6,0.7,1.5,3m x 2.1m,45,Window_0.6_3_2.1.png
3,3,3,2.1,0.9,0.7,1.5,3m x 2.1m,49,Window_0.9_3_2.1.png
3,3,3,2.4,0,0.8,1.5,3m x 2.4m,41,Window_0_3_2.4.png
3,3,3,2.4,0.6,0.8,1.5,3m x 2.4m,45,Window_0.6_3_2.4.png
3,3.3,3,2.4,0.9,0.73,1.5,3m x 2.4m,48,Window_0.9_3_2.4.png
3,3,3,2.7,0,0.9,1.5,3m x 2.7m,41,Window_0_3_2.7.png
3,3.3,3,2.7,0.6,0.82,1.5,3m x 2.7m,44,Window_0.6_3_2.7.png
3,3.6,3,2.7,0.9,0.75,1.5,3m x 2.7m,48,Window_0.9_3_2.7.png
3,3,3,3,0,1,1.5,3m x 3m,40.5,Window_0_3_3.png
3,3.6,3,3,0.6,0.83,1.5,3m x 3m,44,Window_0.6_3_3.png
3,3.9,3,3,0.9,0.77,1.5,3m x 3m,47,Window_0.9_3_3.png
